,rawData,additive,description
1058,"Pyrantel tartrate- FEED/VET, REG, 10 ppm - In swine liver & kidney as res - 556.560; 1 ppm - In swine muscle as res - 556.560; Uses: In swine feeds - 558.485; Powder & Tabs - 520.2045",Pyrantel tartrate,"FEED/VET, REG, 10 ppm - In swine liver & kidney as res - 556.560; 1 ppm - In swine muscle as res - 556.560; Uses: In swine feeds - 558.485; Powder & Tabs - 520.2045"
1059,"Pyridoxine hydrochloride- NUTR/DS, GRAS, GMP -182.5676, 184.1676",Pyridoxine hydrochloride,"NUTR/DS, GRAS, GMP -182.5676, 184.1676"
1060,"Pyrophyllite (aluminum silicate monohydrate)-AC/MISC, REG, < 2.0% in complete animal feed - As sole anticaking aid, blending agent, pelleting aid, or carrier in animal feed - 573.900","Pyrophyllite (aluminum silicate monohydrate)-AC/MISC, REG, < 2.0% in complete animal feed","As sole anticaking aid, blending agent, pelleting aid, or carrier in animal feed - 573.900"
1061,"Quassia- FL/ADJ, REG, GMP, In conjunction w/flavors -172.510",Quassia,"FL/ADJ, REG, GMP, In conjunction w/flavors -172.510"
1062,"Quaternary ammonium chloride combination- PRES, REG, See Reg, In proc of sugar cane juice and in cane sugar mills - 172.165, 173.320",Quaternary ammonium chloride combination,"PRES, REG, See Reg, In proc of sugar cane juice and in cane sugar mills - 172.165, 173.320"
1063,"Quebracho bark- FL/ADJ, REG, GMP, In conjunction w/flavors - 172.510",Quebracho bark,"FL/ADJ, REG, GMP, In conjunction w/flavors - 172.510"
1064,"Quillaia (soapbark)- FL/ADJ, REG, GMP, In conjunction w/flavors - 172.510",Quillaia (soapbark),"FL/ADJ, REG, GMP, In conjunction w/flavors - 172.510"
1065,"Quince seed- NAT, GRAS - 182.40",Quince seed,"NAT, GRAS - 182.40"
1066,"Quinine hydrochloride or sulfate- FLAV, REG, < 83 ppm as quinine - Flavoring agent in carbonated bevs - 172.575",Quinine hydrochloride or sulfate,"FLAV, REG, < 83 ppm as quinine - Flavoring agent in carbonated bevs - 172.575"
1067,"Radiation and Radiation sources- Ionizing radiation for the treatment of food - REG gamma rays of the radionuclides cobalt-60 or cesium-137; electrons generated from machine sources at energies not to exceed 10 million electron volts; and x-rays generated from machine sources at energies not to exceed 5 million electron volts (MeV) or 7.5 MeV if the x-ray target material is tantalum or gold- 179.26; radiofrequency radiation including microwave - 179.30; ultraviolet radiation from low pressure mercury lamps at a wavelength of 253.7 nanometers (2,537 Angstroms). -179.39; pulsed light when source is xenon flashlamps to emit broadband radiation ranging from 200-1,100 nanometers(nm) with pulse duration no longer than 2 milliseconds (msec). - 179.41 ; ionizing radiation for control of food-borne pathogens, and extension of shelf-life, in fresh iceberg lettuce and fresh spinach at a dose up to 4.0 kiloGray (kGy). 21 CFR 179.26",Radiation and Radiation sources,"Ionizing radiation for the treatment of food - REG gamma rays of the radionuclides cobalt-60 or cesium-137; electrons generated from machine sources at energies not to exceed 10 million electron volts; and x-rays generated from machine sources at energies not to exceed 5 million electron volts (MeV) or 7.5 MeV if the x-ray target material is tantalum or gold- 179.26; radiofrequency radiation including microwave - 179.30; ultraviolet radiation from low pressure mercury lamps at a wavelength of 253.7 nanometers (2,537 Angstroms). -179.39; pulsed light when source is xenon flashlamps to emit broadband radiation ranging from 200-1,100 nanometers(nm) with pulse duration no longer than 2 milliseconds (msec). - 179.41 ; ionizing radiation for control of food-borne pathogens, and extension of shelf-life, in fresh iceberg lettuce and fresh spinach at a dose up to 4.0 kiloGray (kGy). 21 CFR 179.26"
1068,"Rapeseed oil, fully hydrogenated- STAB, GRAS, GMP, See REG, Use in peanut butter - 184.1555(a)","Rapeseed oil, fully hydrogenated","STAB, GRAS, GMP, See REG, Use in peanut butter - 184.1555(a)"
1069,"Rapeseed oil, fully hydrogenated, superglycerinated-EMUL, GRAS, GMP, See REG, Use in shortenings for cake mixes - 184.1555(b)","Rapeseed oil, fully hydrogenated, superglycerinated-EMUL, GRAS, GMP, See REG, Use in shortenings for cake mixes",184.1555(b)
1070,"Rapeseed oil, low erucic acid- MISC, GRAS, GMP, See REG, Except in infant formula - 184.1555(c); May be declared on label as ""Canola Oil""","Rapeseed oil, low erucic acid","MISC, GRAS, GMP, See REG, Except in infant formula - 184.1555(c); May be declared on label as ""Canola Oil"""
1071,"Rapeseed oil, low erucic acid, partially hydrogenatedMISC, GRAS, GMP, See Reg, Except in infant formula -184.1555(c)(2)","Rapeseed oil, low erucic acid, partially hydrogenatedMISC, GRAS, GMP, See Reg, Except in infant formula -184.1555(c)(2)",
1072,"Red saunders (red sandalwood)- FL/ADJ, REG, GMP In alc bevs only - 172.510",Red saunders (red sandalwood),"FL/ADJ, REG, GMP In alc bevs only - 172.510"
1073,"Regenerated cellulose- MISC, REG, See REG, As an ion-exchange resin - 173.25(a)(20)",Regenerated cellulose,"MISC, REG, See REG, As an ion-exchange resin - 173.25(a)(20)"
1074,"Rennet (Rennin)- MISC, GRAS, Milk - Part 131; Cheese and Rel Cheese Prods - Part 133; In animal feeds -582.1685; GRAS, GMP, See REG - 184.1685",Rennet (Rennin),"MISC, GRAS, Milk - Part 131; Cheese and Rel Cheese Prods - Part 133; In animal feeds -582.1685; GRAS, GMP, See REG - 184.1685"
1075,"Resin, from formaldehyde, acetone, or tetraethylenepentamine- MISC, REG, See REG, As an ion-exchange resin - 173.25(a)(8)","Resin, from formaldehyde, acetone, or tetraethylenepentamine","MISC, REG, See REG, As an ion-exchange resin - 173.25(a)(8)"
1076,"Rhatany root- FL/ADJ, REG, GMP, In conjunction w/flavors - 172.510",Rhatany root,"FL/ADJ, REG, GMP, In conjunction w/flavors - 172.510"
1077,"Rhizopus oryzae- MISC, REG, Source of carbohydrase for prod of dextrose from starch - 173.130",Rhizopus oryzae,"MISC, REG, Source of carbohydrase for prod of dextrose from starch - 173.130"
1078,"Rhubarb, garden root (Rheum rhaponticum L)- FL/ADJ, REG, GMP, In alc bevs only - 172.510","Rhubarb, garden root (Rheum rhaponticum L)","FL/ADJ, REG, GMP, In alc bevs only - 172.510"
1079,"Rhubarb root- FL/ADJ, REG, GMP, In conjunction w/flavors - 172.510",Rhubarb root,"FL/ADJ, REG, GMP, In conjunction w/flavors - 172.510"
1080,"Riboflavin- NUTR/DS, GRAS/FS, Cereal Flours - Part 137; Alimentary Pastes - Part 139; Bakery Prods - Part 136; GRAS, GMP - 182.5695, 184.1695",Riboflavin,"NUTR/DS, GRAS/FS, Cereal Flours - Part 137; Alimentary Pastes - Part 139; Bakery Prods - Part 136; GRAS, GMP - 182.5695, 184.1695"
1081,"Riboflavin-5-phosphate- NUTR/DS, GRAS, GMP -182.5697, 184.1697",Riboflavin-5-phosphate,"NUTR/DS, GRAS, GMP -182.5697, 184.1697"
1082,"Rice bran wax- CTG/MISC, REG, < 50 m - Ctg for candy - 172.890;< 50 ppm - Ctg for fresh fruits & vegs -72.890; < 2.5% - In chewing gum as plasticizing material - 172.890, 172.615",Rice bran wax,"CTG/MISC, REG, < 50 m - Ctg for candy - 172.890;< 50 ppm - Ctg for fresh fruits & vegs -72.890; < 2.5% - In chewing gum as plasticizing material - 172.890, 172.615"
1083,"Robenidine HCl- FEED, REG, 0.2 ppm - As residue in chicken fat & skin - 556.580; 0.1 ppm neg residue - In other edible tissue of chickens - 556.580; Use & other info -558.515",Robenidine HCl,"FEED, REG, 0.2 ppm - As residue in chicken fat & skin - 556.580; 0.1 ppm neg residue - In other edible tissue of chickens - 556.580; Use & other info -558.515"
1084,"Rose absolute (otto of roses, attar of roses)- ESO, GRAS - 182.20","Rose absolute (otto of roses, attar of roses)","ESO, GRAS - 182.20"
1085,"Rose buds, flowers, fruit (hips), leaves- ESO, GRAS","Rose buds, flowers, fruit (hips), leaves","ESO, GRAS"
1086,"Rose geranium- ESO, GRAS - 182.20",Rose geranium,"ESO, GRAS - 182.20"
1087,"Roselle- FL/ADJ, REG, GMP, In alc bevs only - 172.510",Roselle,"FL/ADJ, REG, GMP, In alc bevs only - 172.510"
1088,"Rosemary- SP/ESO, GRAS - 182.10, 182.20",Rosemary,"SP/ESO, GRAS - 182.10, 182.20"
1089,"Rosidinha (rosadinha)- MISC, REG - 172.615",Rosidinha (rosadinha),"MISC, REG - 172.615"
1090,"Rosin (colophony)- FL/ADJ, REG, GMP, In alc bevs only -172.510",Rosin (colophony),"FL/ADJ, REG, GMP, In alc bevs only -172.510"
1091,"Rosin, gum, glycerol ester- MISC, REG, GMP, Softener for chewing gum - 172.615","Rosin, gum, glycerol ester","MISC, REG, GMP, Softener for chewing gum - 172.615"
1092,"Rosin, gum or wood, pentaerythritol ester, partially hydrogenated pentaerythritol ester, or partially hydrogenated glycerol ester- MISC, REG, GMP, Softener for chewing gum - 172.615","Rosin, gum or wood, pentaerythritol ester, partially hydrogenated pentaerythritol ester, or partially hydrogenated glycerol ester","MISC, REG, GMP, Softener for chewing gum - 172.615"
1093,"Rosin, methyl ester, partially hydrogenated- MISC, REG, GMP, Softener for chewing gum - 172.615; SY/FL -172.515","Rosin, methyl ester, partially hydrogenated","MISC, REG, GMP, Softener for chewing gum - 172.615; SY/FL -172.515"
1094,"Rosi, partial dimerized, calcium salt or partially (catalytically) hydrogenated- CTG, REG, GMP, Ctg on fresh citrus fruit - 172.210","Rosi, partial dimerized, calcium salt or partially (catalytically) hydrogenated","CTG, REG, GMP, Ctg on fresh citrus fruit - 172.210"
1095,"Rosin, polymerized glycerol ester, partially hydrogenated glycerol ester, or partially dimerized glycerol ester-MISC, REG, Softener for chewing gum - 172.615","Rosin, polymerized glycerol ester, partially hydrogenated glycerol ester, or partially dimerized glycerol ester-MISC, REG, Softener for chewing gum",172.615
1096,"Rosin, tall oil, glycerol ester-MISC, REG, GMP, Softener for chewing gum - 172.615","Rosin, tall oil, glycerol ester-MISC, REG, GMP, Softener for chewing gum",172.615
1097,"Rosin, wood- CTG, REG, GMP, Ctg on fresh citrus fruit -172.210","Rosin, wood","CTG, REG, GMP, Ctg on fresh citrus fruit -172.210"
1098,"Rosin, wood, glycerol ester- MISC, REG, GMP, Softener for chewing gum - 172.615; MISC, REG - 172.735","Rosin, wood, glycerol ester","MISC, REG, GMP, Softener for chewing gum - 172.615; MISC, REG - 172.735"
1099,"Roxarsone- FEED/VET, REG, See 3-nitro 4-hydroxy phenyl arsenic acid (Arsenic) for tolerances - 556.60; Use: In chicken & swine feeds - 558.530; In Drinking Water of chickens, turkeys, & swine - 520.2087, 520.2088",Roxarsone,"FEED/VET, REG, See 3-nitro 4-hydroxy phenyl arsenic acid (Arsenic) for tolerances - 556.60; Use: In chicken & swine feeds - 558.530; In Drinking Water of chickens, turkeys, & swine - 520.2087, 520.2088"
1100,"Rubber, butadiene-styrene- MISC, REG, Comp of chew­ing gum base - 172.615","Rubber, butadiene-styrene","MISC, REG, Comp of chew­ing gum base - 172.615"
1101,"Rubber (natural) smoked sheet and latex solids-MISC, REG, Comp of chewing gum base - 172.615","Rubber (natural) smoked sheet and latex solids-MISC, REG, Comp of chewing gum base",172.615
1102,"Rue- SP/ESO, GRAS, < 2 ppm - 184.1698",Rue,"SP/ESO, GRAS, < 2 ppm - 184.1698"
1103,"Rue, oil- FL/ADJ, GRAS, See REG - 184.1699","Rue, oil","FL/ADJ, GRAS, See REG - 184.1699"
1104,"Rum- FLAV, FS, Cnd Fruits - Part 145",Rum,"FLAV, FS, Cnd Fruits - Part 145"
1105,"Saccharin (ammonicalcium, or sodium)-NNS, REG/ITEM, < 12 mg /fl oz - In bevs and fruit juice drinks & bases or mixes - 180.37; < 20 mg/teaspoonful of sugar sweetening equivalency - In sugar substitutes for cooking or table use - 180.37; < 30 mg/serving - In processed foods -180.37; Part 145 - Cnd Fruits; Part 150 - Fruit Butters, Jellies, Pres, and Rel Prods","Saccharin (ammonicalcium, or sodium)-NNS, REG/ITEM, < 12 mg /fl oz","In bevs and fruit juice drinks & bases or mixes - 180.37; < 20 mg/teaspoonful of sugar sweetening equivalency - In sugar substitutes for cooking or table use - 180.37; < 30 mg/serving - In processed foods -180.37; Part 145 - Cnd Fruits; Part 150 - Fruit Butters, Jellies, Pres, and Rel Prods"
1106,"Saffron- SP/ESO, GRAS - 182.10, 182.20 - Not permitted in standardized mayonnaise (169.140) or salad dressing (169.150); Color additive - 73.500",Saffron,"SP/ESO, GRAS - 182.10, 182.20 - Not permitted in standardized mayonnaise (169.140) or salad dressing (169.150); Color additive - 73.500"
1107,"Safrole & any oil containing safrole - ILL, No legal use in food 189.180",Safrole & any oil containing safrole,"ILL, No legal use in food 189.180"
1108,"Safrole-free extract of sassafras- FLAV, REG, Flavoring in food - 172.580",Safrole-free extract of sassafras,"FLAV, REG, Flavoring in food - 172.580"
1109,"Sage, Greek- ESO/SP, GRAS - 182.10, 182.20","Sage, Greek","ESO/SP, GRAS - 182.10, 182.20"
1110,"Sage, Spanish- SP, GRAS - 182.20","Sage, Spanish","SP, GRAS - 182.20"
1111,"St. John's bread- ESO, GRAS - 182.20",St. John's bread,"ESO, GRAS - 182.20"
1112,"St. Johnswort leaves, flowers and caulis- FL/ADJ, REG, GMP - In alc bevs only, Hypericin-free alcohol distillate form only - 172.510","St. Johnswort leaves, flowers and caulis","FL/ADJ, REG, GMP - In alc bevs only, Hypericin-free alcohol distillate form only - 172.510"
1113,"Salicylic acid- MISC, REG, Zero Tolerance - Residue in milk from dairy animals - 556.590; Use - Comp of mastitis formulations - 526.820",Salicylic acid,"MISC, REG, Zero Tolerance - Residue in milk from dairy animals - 556.590; Use - Comp of mastitis formulations - 526.820"
1114,"Salinomycin- FEED, REG, Use - In chicken feeds -558.550",Salinomycin,"FEED, REG, Use - In chicken feeds -558.550"
1115,"Salts of fatty acids- MISC, REG, GMP - 172.863",Salts of fatty acids,"MISC, REG, GMP - 172.863"
1116,"Sandalwood, white (yellow or East Indian), red-FL/ADJ, REG, GMP - In conjunction w/flavors - 172.510","Sandalwood, white (yellow or East Indian), red-FL/ADJ, REG, GMP",In conjunction w/flavors - 172.510
1117,"Sandarac- FL/ADJ, REG, GMP, In alc bevs only - 172.510",Sandarac,"FL/ADJ, REG, GMP, In alc bevs only - 172.510"
1118,"Sanitizing solutions- SANI, REG, For use on food proc equipment followed by adequate draining. See individual compounds for limitations on uses and concentrations -178.1010",Sanitizing solutions,"SANI, REG, For use on food proc equipment followed by adequate draining. See individual compounds for limitations on uses and concentrations -178.1010"
1119,"Sarsaparilla- FL/ADJ, REG, GMP, Natural flavor -172.510",Sarsaparilla,"FL/ADJ, REG, GMP, Natural flavor -172.510"
1120,"Sassafras extract, safrole free- FLAV, REG, GMP -172.580","Sassafras extract, safrole free","FLAV, REG, GMP -172.580"
1121,"Sassafras leaves- FLAV/ADJ, REG, GMP, Must be safrole free - 172.510",Sassafras leaves,"FLAV/ADJ, REG, GMP, Must be safrole free - 172.510"
1122,"Savory, winter or summer- SP/ESO, GRAS - 182.10,","Savory, winter or summer","SP/ESO, GRAS - 182.10,"
1123,"Schinus molle- ESO, GRAS - 182.20",Schinus molle,"ESO, GRAS - 182.20"
1124,"Selenium as Sodium Selenite or Selenate- FEED, REG, < 0.1 ppm in complete feed - Uses: In complete feeds for chickens, swine, turkeys, sheep, beef cattle, dairy cattle & ducks - 573.920; < 0.3 ppm - In prestarter & starter rations for swine - 573.920",Selenium as Sodium Selenite or Selenate,"FEED, REG, < 0.1 ppm in complete feed - Uses: In complete feeds for chickens, swine, turkeys, sheep, beef cattle, dairy cattle & ducks - 573.920; < 0.3 ppm - In prestarter & starter rations for swine - 573.920"
1125,"Senna, Alexandria- FL/ADJ, REG, GMP, In conjunction w/flavors - 172.510","Senna, Alexandria","FL/ADJ, REG, GMP, In conjunction w/flavors - 172.510"
1126,"Serine (L-form only)- NUTS/DS, REG - 172.320",Serine (L-form only),"NUTS/DS, REG - 172.320"
1127,"Serpentaria (Virginia snakeroot)- FL/ADJ, REG, GMP, In alc bevs only - 172.510",Serpentaria (Virginia snakeroot),"FL/ADJ, REG, GMP, In alc bevs only - 172.510"
1128,"Sesame- SP, GRAS - 182.10",Sesame,"SP, GRAS - 182.10"
1129,"Silica aerogel- AF, GRAS - 182.1711",Silica aerogel,"AF, GRAS - 182.1711"
1130,"Silicon dioxide- AC, REG, < 2.0% by wt of food - Used only in those foods where anticaking effect is demonstrated 172.480;REG, < 2% by wt of feed - In feed & feed components as anticaking or grinding agent - 573.940 for use limit; FS, < 1.0% by wt of finished food - In dried egg prods wi moisture < 5% by wt - 160.105, 160.185; STAB, REG, Stab for use in prod. of beer to be removed by filtration prior to final proc - 172.480; MISC, REG, GMP, As an absorbent for dl-tocopheryl acetate and pantothenyl alcohol in tablet-ed foods for special dietary use - 172.480; REG, GMP, Comp of microcapsules for flavoring oils - 172.230; REG, GMP, Comp of defoaming agents - 173.340; GRAS, Migr to food from paper and paperboard prods - 182.90",Silicon dioxide,"AC, REG, < 2.0% by wt of food - Used only in those foods where anticaking effect is demonstrated 172.480;REG, < 2% by wt of feed - In feed & feed components as anticaking or grinding agent - 573.940 for use limit; FS, < 1.0% by wt of finished food - In dried egg prods wi moisture < 5% by wt - 160.105, 160.185; STAB, REG, Stab for use in prod. of beer to be removed by filtration prior to final proc - 172.480; MISC, REG, GMP, As an absorbent for dl-tocopheryl acetate and pantothenyl alcohol in tablet-ed foods for special dietary use - 172.480; REG, GMP, Comp of microcapsules for flavoring oils - 172.230; REG, GMP, Comp of defoaming agents - 173.340; GRAS, Migr to food from paper and paperboard prods - 182.90"
1131,"Silver nitrate-- REG, Used as an antimicrobial agent, in an aqueous solution with hydrogen peroxide, in bottled water. Silver nitrate NTE 17 ug/kg in the treated bottled water, and hydrogen peroxide NTE 23 mg/kg. - 172.167",Silver nitrate-,"REG, Used as an antimicrobial agent, in an aqueous solution with hydrogen peroxide, in bottled water. Silver nitrate NTE 17 ug/kg in the treated bottled water, and hydrogen peroxide NTE 23 mg/kg. - 172.167"
1132,"Simaruba bark- FL/ADJ, REG, In alc bevs only - 172.510",Simaruba bark,"FL/ADJ, REG, In alc bevs only - 172.510"
1133,"Sloe berries (blackthorn berries)- ESO, GRAS - 182.20",Sloe berries (blackthorn berries),"ESO, GRAS - 182.20"
1134,"Smoke prepared by condensing or precipitating wood smoke- FLAV, FS, Past Proc Cheese - Part 133; Cnd Tuna -161.190",Smoke prepared by condensing or precipitating wood smoke,"FLAV, FS, Past Proc Cheese - Part 133; Cnd Tuna -161.190"
1135,"Snakeroot, Canadian (wild ginger)- FL/ADJ, REG, GMP, In conjunction w/flavors - 172.510","Snakeroot, Canadian (wild ginger)","FL/ADJ, REG, GMP, In conjunction w/flavors - 172.510"
1136,"Sodium acetate- B&N, GRAS/FS, Art Sw Fruit Jelly -150.141, Art Sw Fruit Pres and Jams - 150.161; BC, REG, Comp of boiler water additive - 173.310; GRAS, GMP -184.1721; GRAS, Migr from cotton and cotton fabrics used in dry food pkg - 182.70; In animal feeds - 582.121",Sodium acetate,"B&N, GRAS/FS, Art Sw Fruit Jelly -150.141, Art Sw Fruit Pres and Jams - 150.161; BC, REG, Comp of boiler water additive - 173.310; GRAS, GMP -184.1721; GRAS, Migr from cotton and cotton fabrics used in dry food pkg - 182.70; In animal feeds - 582.121"
1137,"Sodium acid phosphate- SEQ, GRAS, Cheeses and Rel Cheese Prods - Part 133; Froz Desserts - Part 135; GRAS, GMP - 182.6085",Sodium acid phosphate,"SEQ, GRAS, Cheeses and Rel Cheese Prods - Part 133; Froz Desserts - Part 135; GRAS, GMP - 182.6085"
1138,"Sodium acid pyrophosphate- B&N, GRAS/FS, Cereal Flours - Part 137; EMUL, FS, Cheeses and Rel Cheese Prods - Part 133; INH, FS, < 0.5% finished food - Prevent struvite crystal formation in cnd tuna - 161.190(a); In animal feeds - 582.1087",Sodium acid pyrophosphate,"B&N, GRAS/FS, Cereal Flours - Part 137; EMUL, FS, Cheeses and Rel Cheese Prods - Part 133; INH, FS, < 0.5% finished food - Prevent struvite crystal formation in cnd tuna - 161.190(a); In animal feeds - 582.1087"
1139,"Sodium alginate- STAB, GRAS/FS, Cheeses and Rel Prods - Part 133; Froz Desserts - Part 135; Art Sw Fruit Jelly - 150.141; Art Sw Fruit Pres and Jams - 150.161; GRAS - 184.1724; BC, REG, Comp of boiler water additive -173.310",Sodium alginate,"STAB, GRAS/FS, Cheeses and Rel Prods - Part 133; Froz Desserts - Part 135; Art Sw Fruit Jelly - 150.141; Art Sw Fruit Pres and Jams - 150.161; GRAS - 184.1724; BC, REG, Comp of boiler water additive -173.310"
1140,"Sodium n-alkylbenzene sulfonate (alkyl group predominately C12 and C13 and not less than 95% C10 to C16)- MISC, REG, < 0.2% in wash water - Used in washing or to assist in lye peeling of fruits & vegs - 173.315",Sodium n-alkylbenzene sulfonate (alkyl group predominately C12 and C13 and not less than 95% C10 to C16),"MISC, REG, < 0.2% in wash water - Used in washing or to assist in lye peeling of fruits & vegs - 173.315"
1141,"Sodium aluminate- BC, REG, Comp of boiler water additive - 173.310; GRAS, Migr to food from paper and paperboard prods - 182.90",Sodium aluminate,"BC, REG, Comp of boiler water additive - 173.310; GRAS, Migr to food from paper and paperboard prods - 182.90"
1142,"Sodium aluminosilicate (sodium silicoaluminate)- AC, GRAS/FS, < 2%, Dried whole eggs and egg yolks -160.105, 160.185; Grated Cheeses - 133.146; GRAS, < 2% -182.2727",Sodium aluminosilicate (sodium silicoaluminate),"AC, GRAS/FS, < 2%, Dried whole eggs and egg yolks -160.105, 160.185; Grated Cheeses - 133.146; GRAS, < 2% -182.2727"
1143,"Sodium aluminum phosphate- MISC, GRAS/FS, Self-rising Flours & Meals - Part 137; EMUL, GRAS/FS, Cheeses, Various - Part 133; GRAS, GMP - 182.1781; In animal feeds - 582.1781",Sodium aluminum phosphate,"MISC, GRAS/FS, Self-rising Flours & Meals - Part 137; EMUL, GRAS/FS, Cheeses, Various - Part 133; GRAS, GMP - 182.1781; In animal feeds - 582.1781"
1144,"Sodium aluminum sulfate- MISC, GRAS/FS, Cereal Flours - Part 137",Sodium aluminum sulfate,"MISC, GRAS/FS, Cereal Flours - Part 137"
1145,"Sodium arsanilate- FEED, REG, See Arsenic",Sodium arsanilate,"FEED, REG, See Arsenic"
1146,"Sodium ascorbate- PRES, GRAS, GMP - 182.3731",Sodium ascorbate,"PRES, GRAS, GMP - 182.3731"
1147,"Sodium benzoateGRAS/FS, < 0.1%, Fruit Pres & Art Sw Fruit Jelly & Pres - 150.141, 150.161; < 0.1%, Margarine -166.110; Conc. Orange Juice - 146.152, 146.154; GRAS, GMP - 184.1733","Sodium benzoateGRAS/FS, < 0.1%, Fruit Pres & Art Sw Fruit Jelly & Pres","150.141, 150.161; < 0.1%, Margarine -166.110; Conc. Orange Juice - 146.152, 146.154; GRAS, GMP - 184.1733"
1148,"Sodium bicarbonate- MISC, GRAS/FS, Cnd Peas - Part 155; Cnd Tomato Paste - 155.191; Cacao Prods - Part 163; Cereal Flours - Part 137; GRAS, GMP - 184.1736; MISC, REG, Used to treat sodium methyl sulfate - 173.385; SANI, REG - 178.1010(b)(41); In animal feeds - 582.1736",Sodium bicarbonate,"MISC, GRAS/FS, Cnd Peas - Part 155; Cnd Tomato Paste - 155.191; Cacao Prods - Part 163; Cereal Flours - Part 137; GRAS, GMP - 184.1736; MISC, REG, Used to treat sodium methyl sulfate - 173.385; SANI, REG - 178.1010(b)(41); In animal feeds - 582.1736"
1149,"Sodium bisulfite- PRES, GRAS, Not in meats or foods recognized as source of Vit B1, etc., See REG - 182.3739; GRAS, FS, Cnd Shrimp - 161.173",Sodium bisulfite,"PRES, GRAS, Not in meats or foods recognized as source of Vit B1, etc., See REG - 182.3739; GRAS, FS, Cnd Shrimp - 161.173"
1150,"Sodium borohydride- MISC, REG, < 310 ppm boron ­Used as modifier for hop extract - 172.560",Sodium borohydride,"MISC, REG, < 310 ppm boron ­Used as modifier for hop extract - 172.560"
1151,"Sodium bromide- SANI, REG, < 200 ppm avail halogen -Adequate drainage - 178.1010",Sodium bromide,"SANI, REG, < 200 ppm avail halogen -Adequate drainage - 178.1010"
1152,"Sodium calcium aluminosilicate hydrated (sodium calcium silicoaluminate)- AC, GRAS, GMP, < 2% - 182.2729",Sodium calcium aluminosilicate hydrated (sodium calcium silicoaluminate),"AC, GRAS, GMP, < 2% - 182.2729"
1153,"Sodium carbonate- BC, REG, Boiler water additive -173.310; B&N, GRAS/FS, Cacao Prods - Part 163; Cnd Vegs Part 155; In animal feeds - 582.1742; GRAS, GMP -184.1742",Sodium carbonate,"BC, REG, Boiler water additive -173.310; B&N, GRAS/FS, Cacao Prods - Part 163; Cnd Vegs Part 155; In animal feeds - 582.1742; GRAS, GMP -184.1742"
1154,"Sodium carbonate w/sodium mono- & dimethyl naphthalene sulfonates- MISC, REG, For use in potable water systems - 172.824; MISC, < 0.2% in wash water - Used in washing or to assist in lye peeling of fruits and vegs -173.315",Sodium carbonate w/sodium mono,"& dimethyl naphthalene sulfonates- MISC, REG, For use in potable water systems - 172.824; MISC, < 0.2% in wash water - Used in washing or to assist in lye peeling of fruits and vegs -173.315"
1155,"Sodium carboxymethylcellulose (cellulose gum)- The sodium salt of carboxymethylcellulose, not less than 99.5% on a dry weight basis - MISC, GRAS, GMP, With one or any mixture of two or more gums permitted - 182.1745; STAB, As optional ingredient in following standardized foods: Cheeses, Various - Part 133; Food Dress - Part 169; Art Sw Jelly & Fruit Jams - Part 150; Froz Desserts - Part 135",Sodium carboxymethylcellulose (cellulose gum),"The sodium salt of carboxymethylcellulose, not less than 99.5% on a dry weight basis - MISC, GRAS, GMP, With one or any mixture of two or more gums permitted - 182.1745; STAB, As optional ingredient in following standardized foods: Cheeses, Various - Part 133; Food Dress - Part 169; Art Sw Jelly & Fruit Jams - Part 150; Froz Desserts - Part 135"
1156,"Sodium chloride- GRAS/FS, Milk and Cream - Part 131; Cheeses and Rel Cheese Prods - Part 133; Cnd Fruits -Part 145; Cnd Vegs - Part 155; Veg Juices - Part 156; Froz Vegs - Part 158; Fish and Shellfish - Part 161; Cacao Prods - Part 163; Margarine - Part 166; Food Dress and Flavorings - Part 169; GRAS, GMP - 182.1; GRAS Migr from cotton and cotton fabrics used in dry food pckg -182.70; GRAS, Migr to food from paper and paperboard prods - 182.90",Sodium chloride,"GRAS/FS, Milk and Cream - Part 131; Cheeses and Rel Cheese Prods - Part 133; Cnd Fruits -Part 145; Cnd Vegs - Part 155; Veg Juices - Part 156; Froz Vegs - Part 158; Fish and Shellfish - Part 161; Cacao Prods - Part 163; Margarine - Part 166; Food Dress and Flavorings - Part 169; GRAS, GMP - 182.1; GRAS Migr from cotton and cotton fabrics used in dry food pckg -182.70; GRAS, Migr to food from paper and paperboard prods - 182.90"
1157,"Sodium chlorite- MISC, REG, GMP, Modifier for food starch - 172.892",Sodium chlorite,"MISC, REG, GMP, Modifier for food starch - 172.892"
1158,"Sodium citrate- B&N/SEQ, GRAS/FS, Milk and Cream ­Part 131; Cheeses and Rel Cheese Prods - Part 133; Art Sw Fruit Jelly, Jam, and Pres - 150.141, 150.161; GRAS, GMP - 182.1751, 182.6751; In animal feeds - 582.1751",Sodium citrate,"B&N/SEQ, GRAS/FS, Milk and Cream ­Part 131; Cheeses and Rel Cheese Prods - Part 133; Art Sw Fruit Jelly, Jam, and Pres - 150.141, 150.161; GRAS, GMP - 182.1751, 182.6751; In animal feeds - 582.1751"
1159,"Sodium cloxacillin- VET, REG, 0.01 ppm - As residues in milk - 556.165;",Sodium cloxacillin,"VET, REG, 0.01 ppm - As residues in milk - 556.165;"
1160,"Sodium cyclamate - NNS, ILL - Removed from GRAS list 10-21-69 - 189.135",Sodium cyclamate,"NNS, ILL - Removed from GRAS list 10-21-69 - 189.135"
